anchor,positive,negative
The people are sleeping.,A man and young boy asleep in a chair.,A group of five people play a game.
The people are sleeping.,A man and young boy asleep in a chair.,A bunch of people with umbrellas walking outside of a farmers market.
The people are sleeping.,A man and young boy asleep in a chair.,A young person wearing a helmet is jumping in the air during a gymnastics routine.
The people are sleeping.,A man and young boy asleep in a chair.,Several people are sitting on the back of a truck outside.
The people are sleeping.,A man and young boy asleep in a chair.,"A game of hockey, with ""Huppe"" in the main part of the picture looking onto the field at the other players."
The people are sleeping.,A man and young boy asleep in a chair.,People gather at an event outside on a street with tents.
The people are sleeping.,A man and young boy asleep in a chair.,acrobats wearing white shirts and red pants dangle from a motorcycle on a long wire while another acrobat wearing the same outfit flips himself upside down on the handlebars.
The people are sleeping.,A man and young boy asleep in a chair.,A group of people competing in the Race for a Cure.
The people are sleeping.,A man and young boy asleep in a chair.,A person holding a tray of food in front of two guys.
The people are sleeping.,A man and young boy asleep in a chair.,Two children smile as they prepare to make their big splash.
The people are sleeping.,A man and young boy asleep in a chair.,"People wearing white helmets, looking into a crowded street corner."
The people are sleeping.,A man and young boy asleep in a chair.,Several Asians eat food outdoors.
The people are sleeping.,A man and young boy asleep in a chair.,A mother in a green shirt spending time with her young toddler in pink shorts
The people are sleeping.,A man and young boy asleep in a chair.,Three people climb on a large rock.
The people are sleeping.,A man and young boy asleep in a chair.,Several people gather around a blue car in Asia with a small toddler on the hood of the car.
The people are sleeping.,A man and young boy asleep in a chair.,Two people who are wearing coat are taking their food in a restaurant.
The people are sleeping.,A man and young boy asleep in a chair.,A group of cheerleaders are lifting up two other cheerleaders above their heads.
The people are sleeping.,A man and young boy asleep in a chair.,Several young musicians play their instruments.
The people are sleeping.,A man and young boy asleep in a chair.,People buying ice cream from an antique truck.
The people are sleeping.,A man and young boy asleep in a chair.,The man and woman show off their matching skull tattoos.
The people are sleeping.,A man and young boy asleep in a chair.,Two people talking wearing kimonos in the middle of a shopping area.
The people are sleeping.,A man and young boy asleep in a chair.,"Four girls and one boy, all dressed very colorful play a game while barefoot walking on a blanket laid in the grass."
The people are sleeping.,A man and young boy asleep in a chair.,Two workers wearing orange vests going over paperwork.
The people are sleeping.,A man and young boy asleep in a chair.,People are observing billboards.
The people are sleeping.,A man and young boy asleep in a chair.,A man in a green and silver Mardi Gras costume in a parade.
The people are sleeping.,A man and young boy asleep in a chair.,People are walking down a street as if in a parade.
The people are sleeping.,A man and young boy asleep in a chair.,2 men and a woman load up the back of a pickup truck with fruits and vegetables.
The people are sleeping.,A man and young boy asleep in a chair.,Two teams battle it out for the win!
The people are sleeping.,A man and young boy asleep in a chair.,Three people talking on a city street.
The people are sleeping.,A man and young boy asleep in a chair.,Many uniformed cyclists are going down a street passing cars parked on the side of the road.
The people are sleeping.,A man and young boy asleep in a chair.,someone is singing at a party.
The people are sleeping.,A man and young boy asleep in a chair.,A large group of people are riding on top of a bus and hanging the side.
The people are sleeping.,A man and young boy asleep in a chair.,A crowd has gathered to watch a young man break-dance in the street.
The people are sleeping.,A man and young boy asleep in a chair.,Three people are standing outside a big white boat.
The people are sleeping.,A man and young boy asleep in a chair.,A group of people gathered together in a field eating barbecued meats while drinking Pepsi.
The people are sleeping.,A man and young boy asleep in a chair.,Group of people gathering around a parade float.
The people are sleeping.,A man and young boy asleep in a chair.,Three people cross the street while a crossing guard in an orange vest stops traffic.
The people are sleeping.,A man and young boy asleep in a chair.,A maintenance working in an orange vest is looking at the doors of a bus or subway.
The people are sleeping.,A man and young boy asleep in a chair.,A man in white shorts and a wetsuit top is riding on a bright yellow surfboard.
The people are sleeping.,A man and young boy asleep in a chair.,"A large group of people are watching something, screaming, and taking pictures."
The people are sleeping.,A man and young boy asleep in a chair.,A group of people are exercising on exercise bike with an instructor.
The people are sleeping.,A man and young boy asleep in a chair.,An amazingly blossomed red tree with several people sitting on a couch beneath its flowers.
The people are sleeping.,A man and young boy asleep in a chair.,People gather on a dock and drink beers.
The people are sleeping.,A man and young boy asleep in a chair.,A couple is kissing on a city street at nighttime.
The people are sleeping.,A man and young boy asleep in a chair.,A sparsely populated crowd at the stadium for a sports event.
The people are sleeping.,A man and young boy asleep in a chair.,spectators watching what appears to be a surfing contest
The people are sleeping.,A man and young boy asleep in a chair.,Two people flipping into the clean crisp water.
The people are sleeping.,A man and young boy asleep in a chair.,A construction crew person pulls on a large coil of red line in the subways of London.
The people are sleeping.,A man and young boy asleep in a chair.,"People are walking through a market, browsing over merchandise and making purchases."
The people are sleeping.,A man and young boy asleep in a chair.,A group of people dancing.
The people are sleeping.,A man and young boy asleep in a chair.,A picture of a crowd of people and hanging teddy bears at a stand.
The people are sleeping.,A man and young boy asleep in a chair.,Seven people eating something.
The people are sleeping.,A man and young boy asleep in a chair.,People dancing inside a room where there is a small concert happening.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,"Someone is on top of a cart full of items, while someone else observes.",The cart is empty.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,"Someone is on top of a cart full of items, while someone else observes.",The man is watching a woman.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,"Someone is on top of a cart full of items, while someone else observes.",A man is sleeping under a bench.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,"Someone is on top of a cart full of items, while someone else observes.",A man eats octopus.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,"Someone is on top of a cart full of items, while someone else observes.",A man is giving another man a piggyback ride.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A cart is full of items.,The cart is empty.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A cart is full of items.,The man is watching a woman.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A cart is full of items.,A man is sleeping under a bench.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A cart is full of items.,A man eats octopus.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A cart is full of items.,A man is giving another man a piggyback ride.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is filled to the top.,The cart is empty.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is filled to the top.,The man is watching a woman.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is filled to the top.,A man is sleeping under a bench.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is filled to the top.,A man eats octopus.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is filled to the top.,A man is giving another man a piggyback ride.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is standing on top of a cart.,The cart is empty.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is standing on top of a cart.,The man is watching a woman.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is standing on top of a cart.,A man is sleeping under a bench.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is standing on top of a cart.,A man eats octopus.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is standing on top of a cart.,A man is giving another man a piggyback ride.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man watches another man.,The cart is empty.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man watches another man.,The man is watching a woman.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man watches another man.,A man is sleeping under a bench.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man watches another man.,A man eats octopus.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man watches another man.,A man is giving another man a piggyback ride.
The men are outside.,Two men are walking past a building that looks like a castle.,Two women work on a project outdoors.
The men are outside.,Two men are walking past a building that looks like a castle.,Two men are leaning out of a window and looking at something to the right of them.
The men are outside.,"Two men cleaning snow from a roof, one's in a lifter, while the other is actually on the roof.",Two women work on a project outdoors.
The men are outside.,"Two men cleaning snow from a roof, one's in a lifter, while the other is actually on the roof.",Two men are leaning out of a window and looking at something to the right of them.
The men are outside.,"Five men leaning against a building and two of them looking up in the sky, while a fifth man passes by.",Two women work on a project outdoors.
The men are outside.,"Five men leaning against a building and two of them looking up in the sky, while a fifth man passes by.",Two men are leaning out of a window and looking at something to the right of them.
The men are outside.,"With a building facade in the background, a man stands upon the shoulders of another while holding several burning sticks.",Two women work on a project outdoors.
The men are outside.,"With a building facade in the background, a man stands upon the shoulders of another while holding several burning sticks.",Two men are leaning out of a window and looking at something to the right of them.
The men are outside.,Three men with shovels kneeling down and digging.,Two women work on a project outdoors.
The men are outside.,Three men with shovels kneeling down and digging.,Two men are leaning out of a window and looking at something to the right of them.
The men are outside.,"Two men barbecuing, one dropping something on the ground.",Two women work on a project outdoors.
The men are outside.,"Two men barbecuing, one dropping something on the ground.",Two men are leaning out of a window and looking at something to the right of them.
The men are outside.,Three men are cutting the branches from a tree.,Two women work on a project outdoors.
The men are outside.,Three men are cutting the branches from a tree.,Two men are leaning out of a window and looking at something to the right of them.
The men are outside.,Two men jump around together outside of a building.,Two women work on a project outdoors.
The men are outside.,Two men jump around together outside of a building.,Two men are leaning out of a window and looking at something to the right of them.
The men are outside.,"Five men dressed as women in black fur coats and glasses, outside of a store on the street, all holding purses in their hands.",Two women work on a project outdoors.
The men are outside.,"Five men dressed as women in black fur coats and glasses, outside of a store on the street, all holding purses in their hands.",Two men are leaning out of a window and looking at something to the right of them.
The men are outside.,Two men in bright orange vests are painting a curb white.,Two women work on a project outdoors.
The men are outside.,Two men in bright orange vests are painting a curb white.,Two men are leaning out of a window and looking at something to the right of them.
The men are outside.,"A hiker lies in the foreground as three men play with a soccer ball in a rural, wooded area.",Two women work on a project outdoors.
The men are outside.,"A hiker lies in the foreground as three men play with a soccer ball in a rural, wooded area.",Two men are leaning out of a window and looking at something to the right of them.
The men are outside.,"Several men are in front of a large body of water, pulling on a rope.",Two women work on a project outdoors.
The men are outside.,"Several men are in front of a large body of water, pulling on a rope.",Two men are leaning out of a window and looking at something to the right of them.
The men are outside.,"A black young man with a t-shirt written ""6"" and ""URKLE"" is walking on a street with another young man while holding a basketball.",Two women work on a project outdoors.
The men are outside.,"A black young man with a t-shirt written ""6"" and ""URKLE"" is walking on a street with another young man while holding a basketball.",Two men are leaning out of a window and looking at something to the right of them.
The men are outside.,Two men are standing in a dark alley at night.,Two women work on a project outdoors.
The men are outside.,Two men are standing in a dark alley at night.,Two men are leaning out of a window and looking at something to the right of them.
The men are outside.,"A man wearing an orange construction hat wipes his face, while another man in an orange construction hat hoists something up on a chain pulley, while standing in front of some fire.",Two women work on a project outdoors.
The men are outside.,"A man wearing an orange construction hat wipes his face, while another man in an orange construction hat hoists something up on a chain pulley, while standing in front of some fire.",Two men are leaning out of a window and looking at something to the right of them.
The men are outside.,A group of four men hiking up a trail.,Two women work on a project outdoors.
The men are outside.,A group of four men hiking up a trail.,Two men are leaning out of a window and looking at something to the right of them.
The men are outside.,"A man in a green and white ""Irish"" baseball uniform is lunging forward as though to throw the ball underhand as an older man in umpire's uniform looks on.",Two women work on a project outdoors.
